what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"1",1263585674253
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1263585674253
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1263585674253
java.specification.name,sysinfo,,,"Java Platform API Specification",1263585674253
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263585674253
java.specification.version,sysinfo,,,"1.6",1263585674253
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263585674253
java.version,sysinfo,,,"1.6.0_0",1263585674253
java.vm.info,sysinfo,,,"mixed mode",1263585674253
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1263585674253
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263585674253
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263585674253
java.vm.specification.version,sysinfo,,,"1.0",1263585674253
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1263585674253
java.vm.version,sysinfo,,,"14.0-b08",1263585674253
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1263585674539
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1263585674572
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1263585674711
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1263585675288
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263585724216
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1263585724295
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263585728251
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263585728424
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1263585728461
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263585733551
