what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263593069341
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263593069341
java.vm.specification.version,sysinfo,,,"1.0",1263593069341
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1263593069341
java.vm.version,sysinfo,,,"14.0-b08",1263593069341
started,bundle,org.tmatesoft.svnkit,1.3.1.6109,"org.tmatesoft.svnkit",1263593069551
started,bundle,com.sun.jna,3.1.0,"com.sun.jna",1263593071402
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593076269
activated,view,com.google.gwt.eclipse.oophm,1.2.0.v200912062003,"com.google.gwt.eclipse.DevModeView",1263593076788
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263593077643
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593092610
opened,view,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1263593094838
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1263593095254
opened,view,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1263593095487
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.svnPerspective",1263593095721
activated,editor,com.google.gwt.eclipse.core,1.2.0.v200912062003,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1263593095903
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1263593096019
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1263593096020
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593096446
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593096631
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593100230
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593102049
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593282031
activated,view,org.tigris.subversion.subclipse.ui,1.6.5,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1263593284115
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263593288237
